SKU,NAME,ID,pif1,pif2,pif3,pif4,pif5,pif6,pif7,pif8,pif9
TIKI-BAROPEN-LG,"Wall Decor, Tike Bar 2-Palm Open Sign 39"" LARGE                                                                         ",8765,https://www.primosupply.com/images/TIKI%20BAR%20PALM_clipped_rev_1.jpeg,,,,,,,,
TIKI-MASKS20-ASST,"Tiki Mask 20"" Medium ASSORTED                                                                                           ",8766,https://www.primosupply.com/images/TIKI%2020%20Inch_clipped_rev_1.jpeg,,,,,,,,
TIKI-MASKS40-ASST,"Tiki Masks 40"" Large ASSORTED                                                                                           ",8767,https://www.primosupply.com/images/TIKI%2040%20Inch_clipped_rev_2.jpeg,,,,,,,,
TOOL-PELIBOX-1150,"Box, Pelican Guard 1150                                                                                                 ",8770,https://www.primosupply.com/images/TOOL-pelibox-1150.jpg,,,,,,,,
VIQ-FC-C10,"Carbon Taste & Odor Filter Cartridge for 10"" Filter Housings                                                            ",8774,https://www.primosupply.com/images/viq-C2-02-250x375.jpg,,,,,,,,
VIQ-FC-C10-PB,"Carbon Taste & Odor & Lead Filter Cartridge for 10"" Filter Housings                                                     ",8775,https://www.primosupply.com/images/viq-C2-02-250x375.jpg,,,,,,,,
VIQ-FC-C20,"Carbon Taste &Odor Filter Cartridge for 20"" Filter Housings                                                             ",8776,https://www.primosupply.com/images/viq-C2-02-250x375.jpg,,,,,,,,
VIQ-FC-C20-PB,"Carbon Taste & Odor & Lead Filter Cartridge for 20"" Filter Housings                                                     ",8777,https://www.primosupply.com/images/viq-C2-02-250x375.jpg,,,,,,,,
VIQ-FC-S10-5,"5 Micron Sediment Filter Cartridge for 10"" Filter Housings                                                              ",8778,https://www.primosupply.com/images/viq-CMB-510-HF.jpg,,,,,,,,
VIQ-FC-S20-1,"1 Micron Sediment Filter for 20"" Filter Housings                                                                        ",8779,https://www.primosupply.com/images/viq-CMB-520-HF.jpg,,,,,,,,
VIQ-FC-S20-5,"5 Micron Sediment Filter for 20"" Filter Housings                                                                        ",8780,https://www.primosupply.com/images/viq-CMB-520-HF.jpg,,,,,,,,
VIQ-FH-10W,"Viqua Filter Housing, 4.5 x 10"" White                                                                                   ",8781,https://www.primosupply.com/images/viq-AWP40C-V-250x503.jpg,,,,,,,,
VIQ-FH-20W,"Viqua Filter Housing, 4.5 x 20"" White                                                                                   ",8782,https://www.primosupply.com/images/viq-AWP42B-V.jpg,,,,,,,,
VIQ-FH-20W-SBV,"Viqua Filter Housing, 4.5 x 20"" White with Shutoff and Bypass                                                           ",8783,https://www.primosupply.com/images/viq-AWP42B-V.jpg,,,,,,,,
VIQ-L-410,UV Lamp for Viqua 410 Series,8784,https://www.primosupply.com/images/viq-UVMAX-Lamp-250x168.jpg,,,,,,,,
VIQ-L-D4,UV Lamp and Quartz Sleeve Kit for Viqua D4 Series,8785,https://www.primosupply.com/images/viq-UVMAX-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-D4,UV Lamp and Quartz Sleeve Kit for Viqua D4 Series,8786,https://www.primosupply.com/images/viq-UVMAX-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-E4,UV Lamp and Quartz Sleeve Kit for Viqua D4 Series,8787,https://www.primosupply.com/images/viq-UVMAX-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-PRO20,"Lamp Kit, UV with Quartz Sleeve for Viqua HPLUS and PRO20                                                               ",8788,https://www.primosupply.com/images/viq-SO-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-QL200,UV Lamp and Quartz Sleeve Kit for Viqua D4 Series,8789,https://www.primosupply.com/images/viq-SO-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-QL410,UV Lamp and Quartz Sleeve kit for Viqua D4 Series,8790,https://www.primosupply.com/images/viq-SO-Lamp-sleeve1.jpg,,,,,,,,
VIQ-LK-QL600,UV Lamp and Quartz Sleeve Kit for Viqua D4 Series,8791,https://www.primosupply.com/images/viq-SO-Lamp-sleeve1.jpg,,,,,,,,
VIQ-T-QSR-602988,Quartz Sleeve Removal Tool 602988,8792,https://www.primosupply.com/images/VIQUA%20LOGO.png,,,,,,,,
VIQ-TL-WR40-50,"Wrench, AWP40/42/50/52B-V Filter Housings                                                                               ",8793,https://www.primosupply.com/images/VIQ-TL-WR.jpg,,,,,,,,
VIQ-UVCTRL-D4,"Replacement UV Controller w/LED Display for B4, C4, D4, E4 100-240V                                                     ",8794,https://www.primosupply.com/images/viq-LCD-Controller.jpg,,,,,,,,
VIQ-UVF-IHS12-D4,"UV Water Filtration System, 12 gpm 120V 50W with particle & carbon filtration                                           ",8795,https://www.primosupply.com/images/viq-IHS12-D4_small.jpg,https://www.primosupply.com/images/viq-IHS12-D4.jpg,,,,,,,
VIQ-UVF-IHS22-D4,"UV Water Filtration System, 12 gpm 120V 50W with particle & carbon filtration                                           ",8796,https://www.primosupply.com/images/viq-IHS22-D4_small.jpg,https://www.primosupply.com/images/viq-IHS22-D4.jpg,,,,,,,
VIQ-UVF-IHS22-E4,"UV Water Filtration System, 22 gpm 120V 50W with particle & carbon filtration                                           ",8797,https://www.primosupply.com/images/viq-IHS22-E4_small.jpg,https://www.primosupply.com/images/viq-IHS22-E4.jpg,,,,,,,
VIQ-UVF-VH200-F10,"UV Water Filtration System, 9 gpm 120V 35W with particle filtration                                                     ",8798,https://www.primosupply.com/images/viq-VH200-F10_small.jpg,https://www.primosupply.com/images/viq-VH200-F10.jpg,,,,,,,
VIQ-UVF-VH410-F20,"UV Water Filtration System, 18 gpm 120V 60W with particle filtration                                                    ",8799,https://www.primosupply.com/images/viq-VH410-F20_small.jpg,https://www.primosupply.com/images/viq-VH410-F20.jpg,,,,,,,
VIQ-UVF-VT1-DWS,"UV Water Filtration System, 1 gpm 120V 13W Dual Large Filters                                                           ",8800,https://www.primosupply.com/images/VIQ-UVF-VT1.jpg,,,,,,,,
VIQ-UVF-VT4-DWS,"UV Water Filtration System, 3.5gpm 120V 20W Dual Large Filters                                                          ",8801,https://www.primosupply.com/images/Dual%20Filter.jpg,,,,,,,,
VIQ-UVF-VT4-DWS11,"UV Water Filtration System, 3.5gpm 120V 20W Dual Small Filters                                                          ",8802,https://www.primosupply.com/images/Dual%20Filter.jpg,,,,,,,,
VIQ-UVP-D4,"UV Water Purifier, 12 gpm 120V 50W                                                                                      ",8803,https://www.primosupply.com/images/viq-D4_vertical_small.jpg,https://www.primosupply.com/images/viq-D4_vertical.jpg,,,,,,,
VIQ-UVP-D4-LCD,"UV Water Purifier, 12 gpm 120V 50W w/LCD Controller                                                                     ",8804,https://www.primosupply.com/images/viq-D4_vertical_small.jpg,https://www.primosupply.com/images/viq-D4_vertical.jpg,,,,,,,
VIQ-UVP-D4-V,"UV Water Purifier, 8.9gpm 120V 50W NSF Listed                                                                           ",9028,https://www.primosupply.com/images/VIQ-UVP-D4+.jpg,,,,,,,,
VIQ-UVP-E4,"UV Water Purifier, 22gpm 120V 83W w/Monitor (650682)                                                                    ",8806,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-E4-50+,"UV Water Purifier, 9gpm 120V 83W w/Monitor (650638-R)                                                                   ",8807,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-E4-LCD,"UV Water Purifier, 22 gpm 120V 83W w/LCD Controller                                                                     ",8808,https://www.primosupply.com/images/viq-E4-NEWMAX-SMALL.jpg,https://www.primosupply.com/images/viq-E4-NEWMAX.jpg,,,,,,,
VIQ-UVP-E4-V,"UV Water Purifier, 15.8gpm 120V 83W (660040-R)                                                                          ",8809,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-F4,"UV Water Purifier, 36gpm 120V 130W (650686)                                                                             ",8810,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-F4-50+,"UV Water Purifier, 15gpm 120V 83W w/Monitor (650640-R)                                                                  ",8811,https://www.primosupply.com/images/VIQ-UVP-F4.jpg,,,,,,,,
VIQ-UVP-F4-V,"UVWater Purifier, 26gpm 120C 130W (660041-R)                                                                            ",8812,https://www.primosupply.com/images/VIQ-UVP-E4.jpg,,,,,,,,
VIQ-UVP-S2Q-P/12VDC,"UV Water Purifier, 3gpm 120V 17W w/Monitor, Specialty-Off Grid, 12 Volt, DC                                             ",8817,https://www.primosupply.com/images/VIQ-UVPS2Q.jpg,,,,,,,,
